Time,Length_x_copper10um2M,Length_y_copper10um2M,Length_x_aluminum10um2M,Length_y_aluminum10um2M,Length_x_iron10um2M,Length_y_iron10um2M,Length_x_silver10um2M,Length_y_silver10um2M,Length_x_nickel10um2M,Length_y_nickel10um2M,Length_x_titanium10um2M,Length_y_titanium10um2M,Length_x_cobalt10um2M,Length_y_cobalt10um2M
8e-08,1.9893616808985826e-05,4.468085080588935e-06,1.9893616808985826e-05,4.893617187917698e-06,1.9893616808985826e-05,4.468085080588935e-06,1.9893616808985826e-05,4.042552973260172e-06,1.9893616808985826e-05,4.468085080588935e-06,1.9893616808985826e-05,4.893617187917698e-06,1.9893616808985826e-05,4.468085080588935e-06
1.6e-07,1.9893616808985826e-05,5.3191488404991105e-06,1.9893616808985826e-05,6.595744707738049e-06,2.031914937106194e-05,5.744680947827874e-06,1.9893616808985826e-05,4.893617187917698e-06,2.031914937106194e-05,5.744680947827874e-06,1.9893616808985826e-05,6.170212600409286e-06,2.031914937106194e-05,5.744680947827874e-06
2.4e-07,1.9893616808985826e-05,6.170212600409286e-06,1.9893616808985826e-05,7.446808467648225e-06,1.9893616808985826e-05,6.595744707738049e-06,2.031914937106194e-05,5.744680947827874e-06,1.9893616808985826e-05,6.595744707738049e-06,1.9893616808985826e-05,7.446808467648225e-06,1.9893616808985826e-05,6.595744707738049e-06
3.2e-07,1.9893616808985826e-05,7.0212768150668126e-06,1.9893616808985826e-05,8.723403880139813e-06,1.9893616808985826e-05,7.446808467648225e-06,1.9893616808985826e-05,6.595744707738049e-06,1.9893616808985826e-05,7.446808467648225e-06,1.9893616808985826e-05,8.2978722275584e-06,1.9893616808985826e-05,7.446808467648225e-06
4e-07,1.9893616808985826e-05,7.872340574976988e-06,1.9468085156404413e-05,9.57446809479734e-06,1.9893616808985826e-05,8.2978722275584e-06,1.9893616808985826e-05,7.0212768150668126e-06,1.9893616808985826e-05,8.2978722275584e-06,1.9893616808985826e-05,9.148936442215927e-06,1.9893616808985826e-05,8.2978722275584e-06
4.8e-07,1.9893616808985826e-05,8.2978722275584e-06,1.9893616808985826e-05,1.0425532309454866e-05,1.9468085156404413e-05,8.723403880139813e-06,1.9893616808985826e-05,7.446808467648225e-06,1.9468085156404413e-05,8.723403880139813e-06,1.9468085156404413e-05,9.999999747378752e-06,1.9468085156404413e-05,8.723403880139813e-06
5.6e-07,1.9468085156404413e-05,8.723403880139813e-06,2.1170212676224764e-05,1.0851063962036278e-05,1.9468085156404413e-05,9.57446809479734e-06,1.9893616808985826e-05,7.872340574976988e-06,1.9468085156404413e-05,9.57446809479734e-06,2.0744681023643352e-05,1.0425532309454866e-05,1.9468085156404413e-05,9.57446809479734e-06
6.4e-07,1.9468085156404413e-05,9.57446809479734e-06,2.159574523830088e-05,1.127659561461769e-05,1.9893616808985826e-05,9.999999747378752e-06,1.9893616808985826e-05,8.2978722275584e-06,1.9893616808985826e-05,9.999999747378752e-06,2.159574523830088e-05,1.0851063962036278e-05,1.9893616808985826e-05,9.999999747378752e-06
7.2e-07,1.9468085156404413e-05,9.999999747378752e-06,2.1170212676224764e-05,1.2127659829275217e-05,2.031914937106194e-05,1.0425532309454866e-05,1.9468085156404413e-05,8.723403880139813e-06,2.031914937106194e-05,1.0425532309454866e-05,2.159574523830088e-05,1.1702127267199103e-05,2.031914937106194e-05,1.0425532309454866e-05
8e-07,2.031914937106194e-05,1.0425532309454866e-05,1.9468085156404413e-05,1.2978723134438042e-05,2.0744681023643352e-05,1.0851063962036278e-05,1.9468085156404413e-05,9.148936442215927e-06,2.0744681023643352e-05,1.0851063962036278e-05,2.0744681023643352e-05,1.2127659829275217e-05,2.0744681023643352e-05,1.0851063962036278e-05
