Time,Length_x_copper32.5um0.25density,Length_y_copper32.5um0.25density,Length_x_copper32.5um0.5density,Length_y_copper32.5um0.5density,Length_x_copper32.5um1,Length_y_copper32.5um1,Length_x_copper32.5um2density,Length_y_copper32.5um2density,Length_x_copper32.5um4density,Length_y_copper32.5um4density
9.6e-06,6.465425394708291e-05,3.803191430051811e-05,3.9760636354913004e-05,5.186170164961368e-05,2.178191516577499e-05,4.632978743757121e-05,6.742021287209354e-05,3.9414891944034025e-05,6.603723886655644e-05,3.388297773199156e-05
1e-05,6.742021287209354e-05,3.803191430051811e-05,3.837765871139709e-05,4.909574636258185e-05,1.6250000044237822e-05,4.771276508108713e-05,6.465425394708291e-05,4.079787322552875e-05,6.603723886655644e-05,3.388297773199156e-05
1.04e-05,NA,NA,NA,NA,NA,NA,6.188829866005108e-05,4.218085086904466e-05,6.742021287209354e-05,3.526595901348628e-05
1.08e-05,NA,NA,NA,NA,NA,NA,5.9122341554029845e-05,4.218085086904466e-05,6.742021287209354e-05,3.526595901348628e-05
1.12e-05,NA,NA,NA,NA,NA,NA,5.4973404985503294e-05,4.3563828512560576e-05,6.742021287209354e-05,3.526595901348628e-05
1.16e-05,NA,NA,NA,NA,NA,NA,5.082446841697674e-05,4.3563828512560576e-05,6.742021287209354e-05,3.6648936657002196e-05
1.2e-05,NA,NA,NA,NA,NA,NA,4.667553184845019e-05,4.3563828512560576e-05,6.742021287209354e-05,3.6648936657002196e-05
1.24e-05,NA,NA,NA,NA,NA,NA,4.1143617636407726e-05,4.49468097940553e-05,6.742021287209354e-05,3.803191430051811e-05
1.28e-05,NA,NA,NA,NA,NA,NA,3.561170342436526e-05,4.49468097940553e-05,6.603723886655644e-05,3.872340312227607e-05
1.32e-05,NA,NA,NA,NA,NA,NA,2.7313830287312157e-05,4.632978743757121e-05,6.603723886655644e-05,3.9414891944034025e-05
1.36e-05,NA,NA,NA,NA,NA,NA,2.0398936612764373e-05,4.771276508108713e-05,6.465425394708291e-05,4.079787322552875e-05
1.4e-05,NA,NA,NA,NA,NA,NA,1.763297859724844e-05,4.771276508108713e-05,6.327127266558819e-05,4.079787322552875e-05
