Time,Length_x_copper5um2M,Length_y_copper5um2M,Length_x_aluminum5um2M,Length_y_aluminum5um2M,Length_x_iron5um2M,Length_y_iron5um2M,Length_x_silver5um2M,Length_y_silver5um2M,Length_x_nickel5um2M,Length_y_nickel5um2M,Length_x_titanium5um2M,Length_y_titanium5um2M,Length_x_cobalt5um2M,Length_y_cobalt5um2M
1e-10,9.946808404492913e-06,1.063829770941993e-07,9.946808404492913e-06,1.063829770941993e-07,9.946808404492913e-06,1.063829770941993e-07,9.946808404492913e-06,1.063829770941993e-07,9.946808404492913e-06,1.063829770941993e-07,9.946808404492913e-06,1.063829770941993e-07,9.946808404492913e-06,1.063829770941993e-07
2.5e-08,9.946808404492913e-06,2.021276486630086e-06,9.946808404492913e-06,2.446808593958849e-06,9.946808404492913e-06,2.2340425402944675e-06,9.946808404492913e-06,1.8085106603393797e-06,9.946808404492913e-06,2.2340425402944675e-06,9.946808404492913e-06,2.2340425402944675e-06,9.946808404492913e-06,2.2340425402944675e-06
5e-08,9.946808404492913e-06,2.6595744202495553e-06,9.946808404492913e-06,3.085106300204643e-06,1.015957468553097e-05,2.6595744202495553e-06,9.946808404492913e-06,2.446808593958849e-06,1.015957468553097e-05,2.6595744202495553e-06,9.946808404492913e-06,3.085106300204643e-06,1.015957468553097e-05,2.6595744202495553e-06
7.5e-08,1.015957468553097e-05,3.085106300204643e-06,9.946808404492913e-06,3.7234042338241125e-06,9.946808404492913e-06,3.2978723538690247e-06,1.015957468553097e-05,2.6595744202495553e-06,9.946808404492913e-06,3.2978723538690247e-06,9.946808404492913e-06,3.5106384075334063e-06,9.946808404492913e-06,3.2978723538690247e-06
1e-07,9.946808404492913e-06,3.2978723538690247e-06,9.946808404492913e-06,4.1489361137792e-06,9.946808404492913e-06,3.5106384075334063e-06,1.015957468553097e-05,3.085106300204643e-06,9.946808404492913e-06,3.5106384075334063e-06,9.946808404492913e-06,3.936170287488494e-06,9.946808404492913e-06,3.5106384075334063e-06
1.25e-07,9.946808404492913e-06,3.7234042338241125e-06,9.734042578202207e-06,4.361701940069906e-06,9.946808404492913e-06,3.936170287488494e-06,9.946808404492913e-06,3.2978723538690247e-06,9.946808404492913e-06,3.936170287488494e-06,9.734042578202207e-06,4.361701940069906e-06,9.946808404492913e-06,3.936170287488494e-06
1.5e-07,9.946808404492913e-06,3.936170287488494e-06,9.734042578202207e-06,4.78723404739867e-06,9.734042578202207e-06,4.1489361137792e-06,9.946808404492913e-06,3.5106384075334063e-06,9.734042578202207e-06,4.1489361137792e-06,9.734042578202207e-06,4.5744682211079635e-06,9.734042578202207e-06,4.1489361137792e-06
1.75e-07,9.734042578202207e-06,4.1489361137792e-06,9.946808404492913e-06,5.212766154727433e-06,9.734042578202207e-06,4.5744682211079635e-06,9.946808404492913e-06,3.7234042338241125e-06,9.734042578202207e-06,4.5744682211079635e-06,9.734042578202207e-06,4.999999873689376e-06,9.734042578202207e-06,4.5744682211079635e-06
2e-07,9.734042578202207e-06,4.361701940069906e-06,1.0585106338112382e-05,5.425531981018139e-06,9.734042578202207e-06,4.78723404739867e-06,9.946808404492913e-06,3.936170287488494e-06,9.734042578202207e-06,4.78723404739867e-06,1.015957468553097e-05,5.212766154727433e-06,9.734042578202207e-06,4.78723404739867e-06
2.25e-07,9.734042578202207e-06,4.78723404739867e-06,1.0585106338112382e-05,5.638297807308845e-06,9.946808404492913e-06,4.999999873689376e-06,9.734042578202207e-06,4.1489361137792e-06,9.946808404492913e-06,4.999999873689376e-06,1.0585106338112382e-05,5.425531981018139e-06,9.946808404492913e-06,4.999999873689376e-06
