Time,Length_x_copper77.5um2M,Length_y_copper77.5um2M,Length_x_aluminum77.5um2M,Length_y_aluminum77.5um2M,Length_x_iron77.5um2M,Length_y_iron77.5um2M,Length_x_silver77.5um2M,Length_y_silver77.5um2M,Length_x_nickel77.5um2M,Length_y_nickel77.5um2M,Length_x_titanium77.5um2M,Length_y_titanium77.5um2M,Length_x_cobalt77.5um2M,Length_y_cobalt77.5um2M
1e-10,0.00015417553368024528,1.6489361769345123e-06,0.00015417553368024528,1.6489361769345123e-06,0.00015417553368024528,1.6489361769345123e-06,0.00015417553368024528,1.6489361769345123e-06,0.00015417553368024528,1.6489361769345123e-06,0.00015417553368024528,1.6489361769345123e-06,0.00015417553368024528,1.6489361769345123e-06
1.4e-06,0.00015417553368024528,3.132978599751368e-05,0.00015417553368024528,3.462766107986681e-05,0.00015417553368024528,3.462766107986681e-05,0.00015417553368024528,3.132978599751368e-05,0.00015417553368024528,3.462766107986681e-05,0.00015417553368024528,3.462766107986681e-05,0.00015417553368024528,3.462766107986681e-05
2.8e-06,0.00015417553368024528,4.122340396861546e-05,0.00015417553368024528,4.781915049534291e-05,0.00015417553368024528,4.122340396861546e-05,0.00015417553368024528,3.462766107986681e-05,0.00015417553368024528,4.122340396861546e-05,0.00015417553368024528,4.452127541298978e-05,0.00015417553368024528,4.122340396861546e-05
4.2e-06,0.00015417553368024528,4.452127541298978e-05,0.00015417553368024528,5.4414893384091556e-05,0.00015417553368024528,4.781915049534291e-05,0.00015417553368024528,4.122340396861546e-05,0.00015417553368024528,4.781915049534291e-05,0.00015417553368024528,5.4414893384091556e-05,0.00015417553368024528,4.781915049534291e-05
5.6e-06,0.00015417553368024528,5.111702193971723e-05,0.00015417553368024528,6.101063991081901e-05,0.00015417553368024528,5.4414893384091556e-05,0.00015417553368024528,4.781915049534291e-05,0.00015417553368024528,5.4414893384091556e-05,0.00015417553368024528,6.101063991081901e-05,0.00015417553368024528,5.4414893384091556e-05
7e-06,0.00015417553368024528,5.4414893384091556e-05,0.00015417553368024528,6.760638643754646e-05,0.00015417553368024528,5.771276482846588e-05,0.00015417553368024528,5.111702193971723e-05,0.00015417553368024528,5.771276482846588e-05,0.00015417553368024528,6.430850771721452e-05,0.00015417553368024528,5.771276482846588e-05
8.4e-06,0.00015417553368024528,6.101063991081901e-05,0.00015417553368024528,7.090425788192078e-05,0.00015417553368024528,6.430850771721452e-05,0.00015417553368024528,5.4414893384091556e-05,0.00015417553368024528,6.430850771721452e-05,0.00015417553368024528,6.760638643754646e-05,0.00015417553368024528,6.430850771721452e-05
9.8e-06,0.00015417553368024528,6.430850771721452e-05,0.00014757979079149663,8.079787221504375e-05,0.00015417553368024528,6.760638643754646e-05,0.00015417553368024528,5.771276482846588e-05,0.00015417553368024528,6.760638643754646e-05,0.00015087766223587096,7.750000077066943e-05,0.00015417553368024528,6.760638643754646e-05
1.12e-05,0.00015417553368024528,6.760638643754646e-05,0.00016406914801336825,8.409574365941808e-05,0.00015417553368024528,7.090425788192078e-05,0.00015417553368024528,6.101063991081901e-05,0.00015417553368024528,7.090425788192078e-05,0.00015417553368024528,8.079787221504375e-05,0.00015417553368024528,7.090425788192078e-05
1.26e-05,0.00015417553368024528,7.090425788192078e-05,0.00017396276234649122,8.73936151037924e-05,0.00015087766223587096,7.750000077066943e-05,0.00015417553368024528,6.430850771721452e-05,0.00015087766223587096,7.750000077066943e-05,0.00016736701945774257,8.409574365941808e-05,0.00015087766223587096,7.750000077066943e-05
