Time,Length_x_copper55um2M,Length_y_copper55um2M,Length_x_aluminum55um2M,Length_y_aluminum55um2M,Length_x_iron55um2M,Length_y_iron55um2M,Length_x_silver55um2M,Length_y_silver55um2M,Length_x_nickel55um2M,Length_y_nickel55um2M,Length_x_titanium55um2M,Length_y_titanium55um2M,Length_x_cobalt55um2M,Length_y_cobalt55um2M
1.28e-05,0.0001211170201713685,6.20212740614079e-05,7.196808655862696e-05,7.840425678296015e-05,0.00011643617108347826,6.670213042525575e-05,0.0001094148938136641,5.7340424973517656e-05,0.00011877659926540218,6.670213042525575e-05,9.069149018614553e-05,7.606382860103622e-05,0.00011877659926540218,6.670213042525575e-05
1.36e-05,0.00012345745199127123,6.436170224333182e-05,3.452127566561103e-05,7.840425678296015e-05,0.00011175531835760921,6.904255133122206e-05,0.00011409574290155433,5.7340424973517656e-05,0.00011409574290155433,6.904255133122206e-05,7.66489356465172e-05,7.606382860103622e-05,0.00011409574290155433,6.904255133122206e-05
1.44e-05,0.0001211170201713685,6.670213042525575e-05,2.6329787033319008e-05,7.840425678296015e-05,0.00010239361654384993,7.138297951314598e-05,0.00011643617108347826,5.9680849517462775e-05,0.00010707446563174017,7.138297951314598e-05,5.32446829311084e-05,7.840425678296015e-05,0.00010707446563174017,7.138297951314598e-05
1.52e-05,0.00011877659926540218,6.670213042525575e-05,3.335106339363847e-05,8.074467768892646e-05,9.303191836806946e-05,7.372340769506991e-05,0.00011877659926540218,5.9680849517462775e-05,9.771276745595969e-05,7.372340769506991e-05,2.5159574761346448e-05,7.840425678296015e-05,9.771276745595969e-05,7.372340769506991e-05
1.6e-05,0.00011409574290155433,6.904255133122206e-05,4.154255293542519e-05,8.542553405277431e-05,8.132978473440744e-05,7.606382860103622e-05,0.0001211170201713685,6.20212740614079e-05,8.601063746027648e-05,7.489361814805306e-05,2.8670212486758828e-05,7.840425678296015e-05,8.601063746027648e-05,7.606382860103622e-05
1.68e-05,0.00010707446563174017,7.138297951314598e-05,NA,NA,NA,NA,0.00012345745199127123,6.20212740614079e-05,NA,NA,NA,NA,NA,NA
1.76e-05,0.00010005319199990481,7.372340769506991e-05,NA,NA,NA,NA,0.00012345745199127123,6.436170224333182e-05,NA,NA,NA,NA,NA,NA
1.84e-05,9.069149018614553e-05,7.372340769506991e-05,NA,NA,NA,NA,0.00012345745199127123,6.436170224333182e-05,NA,NA,NA,NA,NA,NA
1.92e-05,8.132978473440744e-05,7.606382860103622e-05,NA,NA,NA,NA,0.0001211170201713685,6.670213042525575e-05,NA,NA,NA,NA,NA,NA
2e-05,6.962765837670304e-05,7.606382860103622e-05,NA,NA,NA,NA,0.00011877659926540218,6.904255133122206e-05,NA,NA,NA,NA,NA,NA
2.08e-05,NA,NA,NA,NA,NA,NA,0.00011409574290155433,6.904255133122206e-05,NA,NA,NA,NA,NA,NA
2.16e-05,NA,NA,NA,NA,NA,NA,0.0001094148938136641,7.138297951314598e-05,NA,NA,NA,NA,NA,NA
2.24e-05,NA,NA,NA,NA,NA,NA,0.00010239361654384993,7.138297951314598e-05,NA,NA,NA,NA,NA,NA
2.32e-05,NA,NA,NA,NA,NA,NA,9.771276745595969e-05,7.372340769506991e-05,NA,NA,NA,NA,NA,NA
2.4e-05,NA,NA,NA,NA,NA,NA,9.069149018614553e-05,7.372340769506991e-05,NA,NA,NA,NA,NA,NA
2.48e-05,NA,NA,NA,NA,NA,NA,8.367021291633137e-05,7.606382860103622e-05,NA,NA,NA,NA,NA,NA
2.56e-05,NA,NA,NA,NA,NA,NA,7.430851110257208e-05,7.606382860103622e-05,NA,NA,NA,NA,NA,NA
2.64e-05,NA,NA,NA,NA,NA,NA,6.49468092888128e-05,7.606382860103622e-05,NA,NA,NA,NA,NA,NA
2.72e-05,NA,NA,NA,NA,NA,NA,5.0904254749184474e-05,7.840425678296015e-05,NA,NA,NA,NA,NA,NA
2.8e-05,NA,NA,NA,NA,NA,NA,3.452127566561103e-05,7.840425678296015e-05,NA,NA,NA,NA,NA,NA
