Time,Length_x_copper32.5um2M,Length_y_copper32.5um2M,Length_x_aluminum32.5um2M,Length_y_aluminum32.5um2M,Length_x_iron32.5um2M,Length_y_iron32.5um2M,Length_x_silver32.5um2M,Length_y_silver32.5um2M,Length_x_nickel32.5um2M,Length_y_nickel32.5um2M,Length_x_titanium32.5um2M,Length_y_titanium32.5um2M,Length_x_cobalt32.5um2M,Length_y_cobalt32.5um2M
8e-06,5.635638262901921e-05,4.3563828512560576e-05,3.6994681067881174e-05,5.186170164961368e-05,2.593085173430154e-05,4.632978743757121e-05,7.15691494406201e-05,3.803191430051811e-05,3.0079788302828092e-05,4.632978743757121e-05,2.593085173430154e-05,5.186170164961368e-05,3.0079788302828092e-05,4.632978743757121e-05
8.4e-06,5.082446841697674e-05,4.3563828512560576e-05,NA,NA,NA,NA,7.018616815912537e-05,3.803191430051811e-05,NA,NA,NA,NA,NA,NA
8.8e-06,4.390957474242896e-05,4.49468097940553e-05,NA,NA,NA,NA,6.880319415358827e-05,3.9414891944034025e-05,NA,NA,NA,NA,NA,NA
9.2e-06,3.49202146026073e-05,4.49468097940553e-05,NA,NA,NA,NA,6.742021287209354e-05,4.079787322552875e-05,NA,NA,NA,NA,NA,NA
9.6e-06,2.178191516577499e-05,4.632978743757121e-05,NA,NA,NA,NA,6.465425394708291e-05,4.079787322552875e-05,NA,NA,NA,NA,NA,NA
1e-05,1.6250000044237822e-05,4.771276508108713e-05,NA,NA,NA,NA,6.050531919754576e-05,4.218085086904466e-05,NA,NA,NA,NA,NA,NA
1.04e-05,NA,NA,NA,NA,NA,NA,5.635638262901921e-05,4.3563828512560576e-05,NA,NA,NA,NA,NA,NA
1.08e-05,NA,NA,NA,NA,NA,NA,5.220744606049266e-05,4.3563828512560576e-05,NA,NA,NA,NA,NA,NA
1.12e-05,NA,NA,NA,NA,NA,NA,4.736702067020815e-05,4.49468097940553e-05,NA,NA,NA,NA,NA,NA
1.16e-05,NA,NA,NA,NA,NA,NA,4.183510645816568e-05,4.49468097940553e-05,NA,NA,NA,NA,NA,NA
1.2e-05,NA,NA,NA,NA,NA,NA,3.422872396185994e-05,4.49468097940553e-05,NA,NA,NA,NA,NA,NA
